Country,Average_Rank,Average_Happiness_Score,Average_Economy_Score,Average_Family_Score,Average_Health_Score,Average_Freedom_Score,Average_Trust_Score,Average_Generosity_Score
Denmark,2.2,5.083875482,1.396728603,1.447688319,0.865249105,0.625959344,0.429374014,0.318876098
Norway,2.8,5.134778381,1.519380637,1.431074712,0.873333301,0.638048517,0.343950767,0.328990447
Iceland,3.2,4.974383713,1.386522604,1.492812801,0.917744424,0.618034527,0.140145312,0.419124044
Switzerland,3.6,5.095651945,1.472163911,1.417332349,0.928318258,0.620642115,0.379763457,0.277431856
Finland,3.6,4.903018299,1.356960385,1.434429345,0.873835534,0.621536171,0.398474309,0.217782555
Netherlands,6.2,4.942643225,1.411012927,1.349645845,0.878569225,0.589650898,0.298614365,0.415149966
Canada,6.8,4.982496642,1.388128883,1.387411798,0.90055753,0.610954182,0.305846303,0.389597944
New Zealand,8.2,5.099458967,1.31750921,1.439729025,0.891617941,0.617782426,0.40001534,0.432805025
Sweden,8.6,5.023141335,1.403981454,1.368574434,0.898991032,0.61758082,0.397501746,0.33651185
Australia,10,5.054114808,1.394884987,1.40900639,0.914529359,0.605043476,0.314572746,0.41607785
Austria,12,4.729573904,1.398341453,1.363962993,0.883679684,0.576929238,0.214260073,0.292400464
Costa Rica,12.6,4.071796133,1.035655257,1.31516073,0.832247853,0.59122833,0.101081318,0.196422646
Israel,13,4.386639949,1.303722485,1.321917993,0.9026888,0.417499721,0.12087442,0.319936531
Puerto Rico,15,4.03114,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202
United States of America,15.8,4.608936914,1.455945857,1.328570113,0.821615326,0.506882105,0.140843758,0.355079756
Ireland,16.4,5.044687439,1.460415328,1.445056223,0.878932525,0.572192068,0.299791631,0.388299665
Luxembourg,17.2,5.051504011,1.63767472,1.343240733,0.903489899,0.583831578,0.337420885,0.245846196
Belgium,17.6,4.601248504,1.375398152,1.35749254,0.882870374,0.538762144,0.237844626,0.208880668
United Kingdom,17.8,4.759702444,1.337566788,1.367932016,0.881735188,0.503760007,0.244017613,0.424690832
Germany,18,4.740713392,1.395342677,1.35952607,0.870736146,0.558588277,0.265134388,0.291385834
Mexico,21.4,3.614555906,1.079360764,1.082994432,0.7715698,0.436726002,0.139488823,0.104416087
United Arab Emirates,22,4.523507724,1.645226674,1.069860046,0.752195647,0.538813054,0.311982391,0.267826389
Oman,22,4.37809,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542
Brazil,23,3.735883594,1.033226642,1.323311201,0.680944471,0.443038749,0.120392552,0.134969979
Chile,24.4,3.97854299,1.173326922,1.202872991,0.844975941,0.396821056,0.088497596,0.272048484
Czech Republic,24.4,4.010073486,1.26856247,1.324849043,0.827406801,0.473753235,0.034650585,0.080851352
Panama,27.6,4.010454963,1.148267687,1.28816251,0.776023227,0.538879367,0.072982785,0.186139388
Malta,27.6,4.774495887,1.285699968,1.386846333,0.879060847,0.59027141,0.151493214,0.481124115
France,27.8,4.366940603,1.344116692,1.31824737,0.91624117,0.488390423,0.183208486,0.116736461
Singapore,28,5.161285753,1.592137534,1.231078873,1.014186479,0.553412114,0.467255557,0.303215196
Uruguay,30.6,4.166305089,1.135557939,1.315311574,0.782929365,0.574978451,0.188516375,0.169011386
Taiwan,30.75,4.111525,1.3553175,1.2171025,0.8604875,0.3725425,0.0806475,0.2254275
Argentina,31.2,3.841189969,1.111035093,1.330960229,0.760895417,0.481619841,0.064307978,0.092371412
Qatar,32,4.933384953,1.743691137,1.169707376,0.768731618,0.604064197,0.355973851,0.291216774
Taiwan Province of China,33,4.295832418,1.433626533,1.384565353,0.793984234,0.361466587,0.063829236,0.258360475
Saudi Arabia,33.4,4.059559665,1.439512711,1.18137952,0.666213666,0.417454114,0.231550451,0.123449203
Guatemala,33.6,3.435825884,0.806614389,1.141467039,0.615775998,0.550286124,0.081590656,0.240091679
Spain,34.6,4.297993653,1.298807573,1.39946618,0.95010812,0.410948246,0.069852819,0.168810714
Colombia,36,3.641726763,0.992910465,1.302610587,0.671677585,0.492099483,0.044971748,0.137456895
Trinidad & Tobago,38.5,4.0775,1.227,1.4845,0.6385,0.532,0.0175,0.178
Thailand,39.4,4.163025367,1.050013754,1.312320491,0.713977806,0.565274146,0.029762547,0.491676622
Suriname,40,3.339555,1.0461,0.87533,0.558765,0.559455,0.131625,0.16828
Trinidad and Tobago,40.66666667,3.889039911,1.2996353,1.18315284,0.553631097,0.520666914,0.010924939,0.321028821
Slovakia,41.4,3.865051702,1.246006712,1.379745848,0.772484582,0.307047493,0.02319817,0.136568896
El Salvador,41.6,3.187363923,0.829604899,1.097989018,0.659477711,0.419928506,0.093974192,0.086389597
Bahrain,42.4,4.292184667,1.390482452,1.243464092,0.725250607,0.519083384,0.210752434,0.203151697
Kuwait,43,4.29547877,1.55566249,1.18464375,0.695143142,0.505997519,0.18218791,0.17184396
Uzbekistan,45,4.00051668,0.723758218,1.43409983,0.591724526,0.655987733,0.267423645,0.327522729
Italy,46.2,4.01973654,1.311831324,1.334672656,0.92872487,0.243816143,0.028119618,0.17257193
Nicaragua,46.8,3.479094984,0.677277841,1.193653142,0.716673192,0.486024369,0.148355596,0.257110843
Ecuador,48.2,3.580932149,0.92778008,1.157387763,0.753303244,0.47952764,0.141680929,0.121252493
Poland,49,4.007138213,1.209037573,1.331608394,0.76681707,0.506492422,0.054085561,0.139097193
Belize,50.33333333,3.148650322,0.863711772,0.9563226,0.459960589,0.550939791,0.097763691,0.21995188
Lithuania,52,3.607240096,1.23320247,1.367415221,0.708193988,0.255588357,0.017675129,0.025164931
Japan,52.4,4.397735586,1.337745036,1.326999566,0.979099174,0.493477109,0.164842147,0.095572554
Malaysia,53,3.8882681,1.209899084,1.132825207,0.692676886,0.437362996,0.068884142,0.346619786
South Korea,54,3.809589132,1.314553689,1.046190888,0.948608815,0.248936333,0.065202534,0.186096873
Slovenia,55,4.314657377,1.260531191,1.362299764,0.852941646,0.581953162,0.045469796,0.211461819
Kazakhstan,57.6,3.828391686,1.190505254,1.297243803,0.63671631,0.444628857,0.106428577,0.152868885
Bolivia,58.2,3.207595449,0.767261313,1.09516381,0.53930605,0.551896585,0.068787545,0.185180145
Russia,59.2,3.598031927,1.197139619,1.337812478,0.626303867,0.360078622,0.030974576,0.045722764
Moldova,60.2,2.897564173,0.671424126,1.145485114,0.61796304,0.25958581,0.009054257,0.194051825
Northern Cyprus,61,4.252,1.246,1.2315,0.9755,0.456,0.158,0.185
Cyprus,62.2,3.890759973,1.274927615,1.029102655,0.91361494,0.377180308,0.046195595,0.24973886
Mauritius,62.6,3.845101326,1.110145109,1.148144198,0.698279492,0.519071465,0.055884311,0.31357675
Romania,62.8,3.472855015,1.141766782,1.043000258,0.736215662,0.432960748,0.00473358,0.114177984
Peru,63,3.38307469,0.965087054,1.105782077,0.703655223,0.444996576,0.044171817,0.119381943
North Cyprus,63,4.064591535,1.28879377,1.024881126,0.866542413,0.465811208,0.154644451,0.263918568
Latvia,63.4,3.668803193,1.185349725,1.273916988,0.697091394,0.305875582,0.071212545,0.135356957
Paraguay,64,3.701653451,0.855223463,1.384032976,0.643036139,0.505969558,0.080289183,0.233102132
Jamaica,65.2,3.542366623,0.855857862,1.290791613,0.689424477,0.495939448,0.036039556,0.174313667
Estonia,65.8,4.094309984,1.237851868,1.36324222,0.752151663,0.478224286,0.171055784,0.091784162
Algeria,66.2,3.145981029,1.012962893,1.074205493,0.665056929,0.178437162,0.146099222,0.069219329
Kosovo,67.2,3.143936188,0.878282876,1.014490701,0.60975441,0.317747588,0.039870324,0.28379029
Libya,68,3.588868704,1.065826613,1.215988866,0.594601804,0.440226646,0.121246042,0.150978733
Belarus,68.2,3.707037727,1.085019512,1.338153043,0.698766853,0.301538052,0.163556764,0.120003502
Turkmenistan,69.8,3.748455852,1.047483353,1.365799832,0.518129216,0.415890386,0.183476068,0.217676998
"Hong Kong S.A.R., China",71,4.916896373,1.551674843,1.262790918,0.943062425,0.490968645,0.293933749,0.374465793
Venezuela,71.8,3.40181218,1.05246824,1.323263519,0.683740845,0.213709425,0.071444225,0.057185926
Croatia,74,3.346071228,1.152317247,0.959862601,0.769115704,0.285934459,0.033684622,0.145156595
Hong Kong,74.75,4.7398775,1.434935,1.1238475,1.0295125,0.5102175,0.3164275,0.3249375
Turkey,75.2,3.490921676,1.151034875,1.180248635,0.702101122,0.25735612,0.119122316,0.081058608
Philippines,76.8,3.365721167,0.791437843,1.154569515,0.537901811,0.592040935,0.110338379,0.179432685
Serbia,78.8,3.328103448,1.000643516,1.166623959,0.716788934,0.227393106,0.038492756,0.178161177
Pakistan,79,2.35812827,0.667894706,0.608830138,0.455753557,0.229891052,0.115757613,0.280001204
Hungary,80.2,3.548442119,1.204074387,1.257584618,0.736578691,0.230536704,0.030187387,0.089480332
Montenegro,81.4,3.336766896,1.048377807,1.1051353,0.725600935,0.196939811,0.103868839,0.156844205
Portugal,82.8,3.976673864,1.232031059,1.262012604,0.869532708,0.50608506,0.01677189,0.090240543
North Macedonia,84,3.679,0.983,1.294,0.838,0.345,0.034,0.185
Indonesia,84.4,3.62724884,0.920969718,1.13115494,0.561203144,0.466160693,0.012907427,0.534852918
Azerbaijan,84.6,3.330480096,1.073644353,1.031750051,0.619653155,0.380545168,0.175755501,0.049131868
China,85,3.449453506,1.003417158,1.033679482,0.7971211,0.509575542,0.056210855,0.049449368
Jordan,85.4,3.384655245,0.909744479,1.129033779,0.673620012,0.40725223,0.131940654,0.133064092
Honduras,86.2,3.069538353,0.656436624,1.058876996,0.662299896,0.396621972,0.072531091,0.222771775
Dominican Republic,86.6,3.757479445,0.999922767,1.282279341,0.642562749,0.545379967,0.117401051,0.16993357
Kyrgyzstan,87.6,3.272581881,0.542388015,1.270745718,0.615165559,0.467966678,0.037475836,0.338840075
Morocco,88,2.648092231,0.806696916,0.676152887,0.650592134,0.391905666,0.081452637,0.041291991
Bosnia and Herzegovina,88.8,3.116872467,0.921693884,0.984433188,0.761331261,0.176792635,0.001654,0.270967499
Greece,89.8,3.256994397,1.205481496,1.056294915,0.874123781,0.08578825,0.035305955,0
Nigeria,90.4,2.482124759,0.715053251,1.009614097,0.112213146,0.380966513,0.033984313,0.230293439
Bhutan,90.4,3.663554962,0.823507278,1.201687303,0.539707858,0.498467536,0.165486078,0.434698909
Vietnam,90.8,3.449290955,0.723415515,1.138384266,0.722699798,0.577207118,0.091920647,0.19566361
Somaliland region,91,2.947,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318
Lebanon,91,3.414372686,1.035061506,0.99489485,0.787252215,0.321791197,0.055388766,0.219984152
Macedonia,92.25,3.341083468,0.990346984,1.057893254,0.679694546,0.332788995,0.059004449,0.221355241
Tajikistan,92.8,2.858514706,0.474106727,1.029422655,0.590043025,0.411761341,0.122037429,0.231143529
Somalia,94.75,1.923893066,0.005660796,0.616820338,0.152912284,0.600726739,0.286552581,0.261220328
Mongolia,95.6,3.632648215,0.941191173,1.386288247,0.591430697,0.380424794,0.032482458,0.300830846
Somaliland Region,97,2.61931,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479
Laos,104,3.1187075,0.68877,0.8379325,0.481,0.5726475,0.20118,0.3371775
Nepal,105.6,2.870888379,0.431410038,1.038952652,0.557920156,0.43164919,0.073825109,0.337131233
Albania,106.4,3.064244709,0.938632551,0.75493105,0.787695949,0.371897727,0.043200843,0.167886589
Palestinian Territories,106.6,2.75515204,0.656831846,1.052303432,0.613651395,0.233628212,0.09329252,0.105444635
South Africa,108.2,3.153143204,0.979869741,1.258199726,0.289814014,0.428229347,0.071299899,0.125730476
Tunisia,108.4,2.755419302,0.937327161,0.762058292,0.69038241,0.245178138,0.07000063,0.050472671
Iran,109.2,3.163442828,1.088450621,0.65151825,0.691140638,0.307818522,0.083418215,0.341096583
Cameroon,109.8,2.267663908,0.519155073,0.852021644,0.201378423,0.43716775,0.050085326,0.207855691
Bulgaria,113,3.525583434,1.086535818,1.298787892,0.735953536,0.295458344,0.007784306,0.101063539
Mozambique,113.25,2.172714171,0.179846413,0.946240254,0.190241109,0.461540273,0.157866597,0.236979526
Bangladesh,113.8,2.545361124,0.523996595,0.638336348,0.593354207,0.478267332,0.132447572,0.17895907
Zambia,114,2.584769432,0.571761356,0.93238146,0.302761179,0.462098698,0.09733671,0.218430029
Namibia,114,3.023527802,0.912576082,1.099022702,0.382015453,0.481610887,0.079281743,0.069020936
Ghana,115,2.427572779,0.609374965,0.762146947,0.363353545,0.427235259,0.034097274,0.231364789
Sierra Leone,116.4,1.866135099,0.317502186,0.844369209,0.049512951,0.339589538,0.067783035,0.24737818
Iraq,116.8,2.959824541,1.043188097,0.86811064,0.544862094,0.216423107,0.113091151,0.174149453
Swaziland,118,2.431165,0.76153,1.11092,0.03783,0.30979,0.0828,0.128295
Gambia,120,2.493,0.308,0.939,0.428,0.382,0.167,0.269
Gabon,120.4,2.991245957,1.101992048,1.026316043,0.422939718,0.312689715,0.077419357,0.049889076
Kenya,120.8,2.768980786,0.490571892,0.972022145,0.41216167,0.443134753,0.059578264,0.391512062
Senegal,121,2.544467079,0.433285804,1.036208382,0.450666571,0.350840453,0.09868009,0.174785779
Congo,121.4,2.414162436,0.72274285,0.716586873,0.346717487,0.423013174,0.092801627,0.112300426
Armenia,122.8,2.765046133,0.839133348,0.890872744,0.697850885,0.216028653,0.038766884,0.082393618
Sri Lanka,123,3.754207629,0.937054029,1.141171277,0.691252166,0.532328651,0.068416793,0.383984712
Ethiopia,123.4,2.276142391,0.293358769,0.766209841,0.412547942,0.401274548,0.146727143,0.256024148
Egypt,123.6,2.794826684,0.924690361,0.861320278,0.571093452,0.239292031,0.091110273,0.107320289
Myanmar,124.6,3.311404492,0.47426211,0.977419188,0.452556514,0.497316407,0.186317241,0.723533032
Ivory Coast,124.8,2.185649312,0.546691784,0.786338006,0.111450434,0.428399239,0.131516355,0.181253494
Mauritania,125,2.433902494,0.568687458,1.078906166,0.342295856,0.132043609,0.134423401,0.177546005
Georgia,125.6,2.688444013,0.853886533,0.481344987,0.682831396,0.352158007,0.266555327,0.051667763
India,126,2.591482768,0.73071425,0.588116519,0.498925523,0.461539401,0.088473377,0.223713698
Dem. Rep. Congo,126,1.861562274,0.06234247,1.059596691,0.207693405,0.23980627,0.060448271,0.231675167
Djibouti,126,2.31795,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093
Ukraine,127.4,3.142857836,0.83591839,1.282889514,0.63681679,0.168758955,0.018385894,0.200088293
Cambodia,128.6,2.980180317,0.548237019,0.876219668,0.511972681,0.637871165,0.06969919,0.336180594
Mali,129.2,2.266625551,0.360968099,1.10361268,0.199733135,0.332924749,0.094592049,0.17479484
Sudan,129.5,2.302811728,0.604069173,1.071832143,0.317322706,0.032951464,0.10470938,0.171926863
Lesotho,130.25,2.319889911,0.464367812,1.153781297,0.08078,0.372582825,0.11228366,0.136094318
Burkina Faso,133.4,2.176980524,0.314659543,0.935740001,0.266812852,0.32399957,0.122995621,0.212772937
Niger,133.8,1.930230166,0.126605066,0.802395001,0.282839001,0.385797739,0.133544589,0.199048769
Zimbabwe,134.8,2.208843856,0.344051307,1.007727182,0.274402751,0.323256841,0.089997076,0.169408699
Benin,137.8,1.669301143,0.376745082,0.340469969,0.275262042,0.419386555,0.071367803,0.186069692
Uganda,138,2.442870558,0.318728143,1.066325548,0.286498521,0.428597191,0.063031944,0.279689211
Chad,138.6,1.710334267,0.382016597,0.803851174,0.094894943,0.177684405,0.058758376,0.19312877
Haiti,139,1.938499401,0.322862053,0.616215964,0.335746226,0.089267971,0.12607643,0.448330756
Malawi,139.2,1.709967446,0.142714408,0.434381766,0.327069917,0.457150931,0.077424331,0.271226094
Angola,140,2.074921408,0.798379545,0.93836799,0.133902167,0.0274325,0.071570084,0.105269122
Comoros,140,1.90928,0.262716667,0.717653333,0.38932,0.175096667,0.15379,0.210703333
Botswana,140.2,3.173650528,1.053580831,1.107410999,0.338407102,0.490607267,0.10460264,0.07904169
Liberia,140.8,1.794493449,0.089260359,0.789065587,0.302715639,0.332934236,0.04255765,0.237959977
Guinea,141.6,1.859738796,0.273373986,0.637578937,0.241701828,0.352273503,0.106305524,0.248505018
Madagascar,145,1.906632729,0.265917739,0.773236074,0.434104662,0.177375353,0.062706395,0.193292506
Yemen,146.4,2.128350593,0.489312689,0.865448449,0.365440183,0.244174744,0.067045485,0.096929042
Togo,148.2,1.517458024,0.265870943,0.323566506,0.288529114,0.363747228,0.100969003,0.17477523
Afghanistan,149.4,1.465321121,0.357113444,0.409752665,0.254707356,0.117923904,0.058093566,0.267730187
S. Sudan,150,1.519321131,0.358547157,0.492378282,0.198324001,0.116420609,0.110985878,0.242665204
Tanzania,150.8,2.558216842,0.439777175,0.939379961,0.396731857,0.386879556,0.083699021,0.311749272
Rwanda,152,2.809443524,0.322057179,0.788453405,0.417542961,0.581610771,0.473468003,0.226311206
Syria,152.6,2.293851877,0.699108627,0.355930521,0.566280668,0.081699889,0.159547426,0.431284746
Central African Rep.,153.25,0.700894074,0.032125,0,0.050190671,0.322408012,0.053113769,0.243056622
Burundi,153.8,1.139104166,0.062446514,0.470816717,0.211608158,0.101320151,0.106991589,0.185921037
